0,2018-7-05 17:15,6月21日，作为四家高返平台之一的联璧金融，被经侦以涉嫌非法吸收公众存款立案调查，疑似爆雷。随后，与联璧金融开展合作的斐讯0元购产品也步入风口浪尖。两者之间，以营销模式为切口，斐讯通过“0元购“噱头销售产品，而联璧金融则负责资金运作。联璧金融“爆雷”，购买斐讯产品等待返现收益的投资者一同踩雷。据网友爆料，不少消费者把矛盾直指销售斐讯产品的电商平台，京东。据@老徐时评爆料，一封消费者被骗的请愿书甚至出现在白宫的页面上。内容中提到斐讯以0元购的活动在京东平台销售其远高于成本价的商品，并承诺通过联璧金融返还资金。[0元购牵出的数百亿P2P理财]《经鉴》（微信id：jingjian_news）注意到，该请愿书于2018年6月30日创建，距今已经过去5天，10万人请愿目标，显示目前已有49446人签名，参与度接近一半。事实上，近期，有网友爆出京东似乎曾一度屏蔽了“斐讯”关键字，在京东电商平台搜索不到斐讯的任何产品。目前，《经鉴》（微信id：jingjian_news）注意到，斐讯多款路由器在京东重新上架，但均显示无货。0元、返现等字样，也全部消失。斐讯路由器和联璧之间有一个“嫁接”。据媒体报道，通过参与“0元购斐讯路由器”活动，投资者以399元一个的价格去京东商城购买斐讯K2路由器，此后可以凭借每个路由器上的K码，将K码输入联璧金融APP礼包兑换口，就能激活K码换取399元理财存款。这笔存款，在规定的日期后可提现。若用户花费1399元购买K3C路由器，则将分为12期分期返还。第一期返还价值420元，后续11期每期为89元。也就是说，投资者不用花一分钱，就能换回一个免费的路由器。斐讯和联璧金融的营销模式，确实吸引了众多投资者。凭借这一“套路”，斐讯路由器在6·18期间斩获颇丰。据斐讯官网的数据，仅“6·18”期间（6月1日-18日），斐讯就实现了7.1亿元总销售额和72.2万台产品总销量。6月18日当天，斐讯京东旗舰店的销售额突破了1.7亿元，产品销量突破16万台，并一举夺得了“京东智能穿戴品牌销售额第一、京东智能家居品牌销售额第一、京东数码配件品牌销售额第一、京东音箱品类斐讯阵营品牌销售额第一”等数个排行榜榜首的位置。值得关注的是，京东或有意对斐讯销售的产品“推波助澜”。《经鉴》（微信id：jingjian_news）注意到，早在2016年，京东金融疑似和斐讯进行推广合作。在昔日的宣传，京东和斐讯携手开启了0元购路由器活动，并由京东白条提供免息支持。在京东官网搜索“斐讯”，多款路由器产品显示带有“京东自营字样”。而京东，也是目前仍在支持0元购的电商平台。于是，通过购买斐讯路由器，下载和使用联璧金融APP的消费者越来越多，而消费者也就顺理成章成为了联璧金融理财产品的投资者，直至联璧金融出现兑付和提现危机。借此，我们大致可以梳理出联璧金融和斐讯的商业模式：斐讯以0元购的概念售卖产品，并将资金交由联璧金融运营。作为P2P平台，联璧金融亦借此吸引了众多消费者购买理财产品。而京东，则成为了斐讯产品销售的主要平台。实际上，据媒体报道，这些认购时价格399元、499元、699元、799元、1399元、1999元的路由器，成本价不足百元。换言之，通过0元购，联璧金融吸引消费者购买P2P理财产品的获客成本极低。而当P2P出现兑付和提现危机之时，投资者变成了“受害者“。根据媒体报道，截至2018年6月，斐讯产品的销量总计超过百万台，数亿元资金牵涉其中，购买联璧金融理财产品的金额则多得多。[京东仍有0元购产品在售]经鉴（微信id：jingjian_news）注意到，斐讯路由器重新上架，但显示无货。而在京东电商平台，仍有0元购类似产品在售。其中，一款名为“陪行者T5胎压监测系统”的产品，在京东售价499元，并打着“下单499元返499元”的旗号，此价格仅限购一次。如何返现呢？在京东该产品销售页面，明确提出了返现规则：投资者可选择购买5000元或10000元的理财产品，在1个月之后或3个月之后提现，届时不仅可以获得起初购买产品花费的499元，还能获得收益。简单来说，消费者要免费获得产品，必须掏5000元或10000元买理财，否则不予返现。《经鉴》查阅发现，陪行者与斐讯路由器的套路几乎如出一辙。资料显示，陪行者胎压监测系统的主体为汶佳源科技（深圳）有限公司，设立于2014年9月，注册资本100万元。与深圳汶佳源公司合作的理财平台为安润金融。安润金融平台是由安润金融信息服务（北京）有限公司管理运营的网络借贷信息中介平台，是北京市网贷行业协会创始会员单位和中国互联网金融协会创始会员单位。在京东，陪行者胎压监测系统的购买评价超过300条，目前该产品仍可以正常购买，在多个地区均显示有货供应。
1,7月9日 15:19 ,陌上殇蘫57176,#天价路由#, #联璧斐讯#
2,7月9日 15:16 ,卡的梦一,,严查到底 
3,7月9日 14:56 ,马小超_轩,,请国家彻查斐讯，坑害老百姓血汗钱！！！ 
4,7月9日 14:31 ,龙腾天下VIP,#天价路由器#, #天价路由# #联璧斐讯# #联璧金融# #联璧斐讯涉嫌自融诈骗# 斐讯太作孽了 
5,7月9日 14:31 ,斐讯联壁诈骗huiyeji,,京东斐讯坑害了多少老百姓，天天睡不着觉，还我们血汗钱 
6,7月9日 14:17 ,Xx_Z_c_0,#天价路由#, #匪讯诈骗# #联璧斐讯# #联璧金融# #斐讯联璧合伙诈骗# #接盘侠骏合# @老徐时评 @焦点访谈 @中国政府网 @人民日报  @凤凰新闻资讯台 @CCTV焦点访谈 @法律界网站 @新京报 @崔永元 @央视新闻 @央视财经 @央视主持岩松 @公安部刑侦局 @财经郎眼  @郎咸平 没有人管我们 上海已经把事情压住了 
7,7月9日 14:17 ,Xx_Z_c_0,老徐时评, @焦点访谈 @中国政府网 @人民日报  #@凤凰新闻资讯 台#@CCTV焦点访谈 @法律界网站 @新京报 @崔永元 @央视新闻 @央视财经 @央视主持 岩松#@公安部刑侦局 @财经郎眼  @郎咸平 
8,7月9日 14:10 ,用户5508120194,,各种引导，骗大家的血汗钱，恳求相关部门查清，还大家血汗钱 
9,7月9日 14:09 ,用户5508120194,,京东移动联通电信广电都涉嫌引导消费，马云爸爸早就看出了猫腻，直接禁止斐讯上架。 
10,7月9日 14:08 ,斐我联壁必死无疑,#天价路由#, #联璧斐讯# #我的中国梦# 打倒上海滩诈骗集团 
11,7月9日 14:08 ,用户5255344424,,老百姓的血汗钱就这样不明不白的没了一辈子的积蓄该找谁负责 
12,7月9日 14:06 ,用户5508120194,,0元购，一夜之间倾家荡产，斐讯还我血汗😓钱，不然我拿命跟你们拼了 
13,7月9日 14:05 ,京东斐讯联璧受害者,#天价路由#, #斐讯联璧诈骗# 斐讯联璧诈骗还我血汗钱 
14,7月9日 13:35 ,二月的水瓶宝宝2037,,主流网络媒体都这样误导消费者，你对供货商不审核的吗，合作伙伴就要共同承担责任 
15,7月9日 13:18 ,微笑面对-1981,是小鹿啊,请关注联壁，斐讯案件。全国几百万受害者 
16,7月9日 13:14 ,安娜的裙角,粉红色的粉,#联璧斐讯# #天价路由# 
17,7月9日 13:07 ,受害者958,,谁为受害者负责！ 
18,7月9日 13:07 ,枫叶飘舞_1212,#匪讯诈骗#, #联壁斐讯# #焦点访谈# #联璧金融# 还我血汗钱 
19,7月9日 13:07 ,无耻斐讯,,刘强东是不是应该出面解释下 
20,7月9日 13:06 ,亲爱翠花_长春,#我的中国梦#, #天价路由# #联璧斐讯#
21,7月9日 13:05 ,朝霞190,,联壁斐讯勾结，暗度陈仓侵吞了百姓的血汗钱！ 
22,7月9日 12:05 ,东方娃娃鱼,#联璧斐讯#,#天价路由##匪讯诈骗# 斐讯联璧事件，跟其他跑路暴雷的平台都不一样， 电商大平台京东苏宁及三大运营商营业厅大力做推广，斐讯不遗余力的培育联璧做大吸收大量存款为自己日益膨胀的资本需求输血，有组织有预谋地切割联璧公然欺诈，涉案金额惊人，须坚决予以打击，杜绝此类新型诈骗模式案件发生 
23,7月9日 11:50 ,翔庆,,有一个负责的态度 才是挽回的根本 
24,7月9日 11:34 ,笨笨的七彩鱼,,那是老百姓的血汗钱，永不罢休！敢于贪占的人会付出沉重的代价！！！ 
25,7月9日 11:32 ,用户6144502984,,被坑死了，没法过了 
26,7月9日 10:54 ,烦烦烦的烦心事,,上海的警察都在干些什么呢？这么多群众都自发去门口堵住了，他们呢？破案的进度没有，所有的信息都没有出来，让我这些人等着干着急，不去你门口堵着你能给我们一个结果嘛，光吃饭不做事啊，这种警官上海还留的下 
27,7月9日 10:12 ,傲慢偏执兔先森,#联璧斐讯#, #天价路由# #匪讯诈骗# #焦点访谈# #我的中国梦#
28,7月9日 09:18 ,天降正义8,#联璧斐讯#,#天价路由#  ￼网页链接 上海松江公安包庇斐讯，不作为，蛇鼠一窝，已经引起民愤！ 
29,7月9日 09:04 ,水果猪小风,,我现在也很绝望 想报警都不知道去哪我也不是上海的！ 
